世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
174,印度理工学院德里分校,印度,46.5,49,79.2,65.2,27.7
176,凯斯西储大学,美国,46.2,18.3,20.2,65.8,89.1
177,国立清华大学,中国台湾,45.9,51.3,69,47.7,34.4
178,巴塞罗那自治大学,西班牙,45.8,62.2,28.9,66.9,11.8
179,维也纳技术大学,奥地利,45.7,30.9,50.3,86.6,12.3
179,巴斯大学,英国,45.7,34.4,68.9,59.1,19.9
181,哈利法大学,阿拉伯联合酋长国,45.6,16.6,15.2,51.9,91.7
181,都柏林大学,爱尔兰,45.6,48.7,46.8,43,22.5
181,匹兹堡大学,美国,45.6,39.9,16.3,37.4,96.3
184,巴塞罗那大学,西班牙,45.5,71.9,28.1,44.5,13.6
185,哥德堡大学,瑞典,45.4,37.4,20.1,34.4,66.1
185,明尼苏达大学,美国,45.4,60.1,28.2,49.2,38.2
185,伍伦贡大学,澳大利亚,45.4,29.4,34.1,88,20.9
188,佛罗里达大学,美国,45.3,48.5,47,26.4,71.4
189,弗莱堡大学,德国,45.2,47.4,18.6,57.3,36.5
190,皇家墨尔本理工大学,澳大利亚,44.6,36.6,55.5,66,6.7
190,利物浦大学,英国,44.6,42.7,34.3,33.7,41.5
192,纽卡斯尔大学,澳大利亚,44.5,29.1,25.7,86.7,34.1
193,科廷大学,澳大利亚,44.4,30.5,41.2,89.4,13.9
194,武汉大学,中国大陆,44.3,38.8,56.6,88.1,13.8
195,麦考瑞大学,澳大利亚,44.2,30.9,48.9,74.6,13.6
195,法语天主教鲁汶大学,比利时,44.2,49.7,43,61.7,5.4
197,庆应义塾大学,日本,44.1,50.3,91.9,6.6,60.3
197,蔚山国立科学技术院,韩国,44.1,11.8,7.4,99.9,79.8
199,范德比尔特大学,美国,43.9,25.9,22.2,38.5,100
200,德累斯顿工业大学,德国,43.6,37.4,37,14.9,89.1
201,波恩大学,德国,43.3,51.3,16.9,15.1,68.1
202,国立阳明交通大学,中国台湾,43.2,34.8,74.6,46.2,50.3
203,马来西亚工艺大学,马来西亚,43,44.5,55.9,28.6,46.3
203,洛桑大学,瑞士,43,30.6,16.8,61,43.5
205,达特茅斯学院,美国,42.8,19.2,25.9,86.7,65.2
205,早稻田大学,日本,42.8,58.7,96.5,4.4,27.2
207,卑尔根大学,挪威,42.7,33.8,8.1,41.1,76
208,鹿特丹伊拉斯谟大学,荷兰,42.6,35.6,47,54.9,28.3
